method,route,source,symbol,auth_dependency_chain,authorization_evidence,expected_request,actual_request_declaration,expected_response_declaration,actual_return_expressions,consumer_candidates,service_db_calls,declared_error_paths,test_reference_candidates,production_readiness
GET,/api/v1/openapi.json,.venv/lib/python3.13/site-packages/fastapi/applications.py:1083,openapi,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,{},UNVERIFIED,,UNVERIFIED — no exact literal match; dynamic URLs may exist,,,tests/biometric/test_admin_review_api.py; tests/unit/juggling/test_juggling_video_list.py; tests/unit/contract/test_openapi_snapshot.py; tests/unit/multicamera/test_session_api.py; tests/unit/multicamera/test_system_time.py; tests/unit/api/web_routes/test_shop_3b1.py; tests/unit/api/web_routes/test_shop_3a.py; tests/unit/api/web_routes/test_cs_s4a.py; tests/unit/api/web_routes/test_card_studio_challenge.py; tests/unit/api/web_routes/test_cs_s2a.py; tests/unit/api/web_routes/test_family_color_shop.py; tests/unit/api/web_routes/test_cc_design_1.py; tests/unit/api/web_routes/test_shop_unified.py; tests/unit/api/web_routes/test_card_studio_landing.py; tests/unit/api/web_routes/test_card_studio_welcome.py; tests/unit/api/web_routes/test_card_editor_ref_p2.py; tests/unit/api/web_routes/test_card_editor_ce2.py; tests/unit/api/web_routes/test_card_studio_shell.py; tests/unit/api/web_routes/test_cs_color_1.py; tests/unit/api/web_routes/test_card_editor_cs_s1.py; tests/unit/api/web_routes/test_shop_3b2.py,UNVERIFIED
HEAD,/api/v1/openapi.json,.venv/lib/python3.13/site-packages/fastapi/applications.py:1083,openapi,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,{},UNVERIFIED,,UNVERIFIED — no exact literal match; dynamic URLs may exist,,,tests/biometric/test_admin_review_api.py; tests/unit/juggling/test_juggling_video_list.py; tests/unit/contract/test_openapi_snapshot.py; tests/unit/multicamera/test_session_api.py; tests/unit/multicamera/test_system_time.py; tests/unit/api/web_routes/test_shop_3b1.py; tests/unit/api/web_routes/test_shop_3a.py; tests/unit/api/web_routes/test_cs_s4a.py; tests/unit/api/web_routes/test_card_studio_challenge.py; tests/unit/api/web_routes/test_cs_s2a.py; tests/unit/api/web_routes/test_family_color_shop.py; tests/unit/api/web_routes/test_cc_design_1.py; tests/unit/api/web_routes/test_shop_unified.py; tests/unit/api/web_routes/test_card_studio_landing.py; tests/unit/api/web_routes/test_card_studio_welcome.py; tests/unit/api/web_routes/test_card_editor_ref_p2.py; tests/unit/api/web_routes/test_card_editor_ce2.py; tests/unit/api/web_routes/test_card_studio_shell.py; tests/unit/api/web_routes/test_cs_color_1.py; tests/unit/api/web_routes/test_card_editor_cs_s1.py; tests/unit/api/web_routes/test_shop_3b2.py,UNVERIFIED
GET,/docs,.venv/lib/python3.13/site-packages/fastapi/applications.py:1094,swagger_ui_html,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,{},UNVERIFIED,,UNVERIFIED — no exact literal match; dynamic URLs may exist,,,UNVERIFIED — no exact symbol match,UNVERIFIED
HEAD,/docs,.venv/lib/python3.13/site-packages/fastapi/applications.py:1094,swagger_ui_html,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,{},UNVERIFIED,,UNVERIFIED — no exact literal match; dynamic URLs may exist,,,UNVERIFIED — no exact symbol match,UNVERIFIED
GET,/docs/oauth2-redirect,.venv/lib/python3.13/site-packages/fastapi/applications.py:1112,swagger_ui_redirect,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,{},UNVERIFIED,,UNVERIFIED — no exact literal match; dynamic URLs may exist,,,UNVERIFIED — no exact symbol match,UNVERIFIED
HEAD,/docs/oauth2-redirect,.venv/lib/python3.13/site-packages/fastapi/applications.py:1112,swagger_ui_redirect,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,{},UNVERIFIED,,UNVERIFIED — no exact literal match; dynamic URLs may exist,,,UNVERIFIED — no exact symbol match,UNVERIFIED
GET,/redoc,.venv/lib/python3.13/site-packages/fastapi/applications.py:1122,redoc_html,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,{},UNVERIFIED,,UNVERIFIED — no exact literal match; dynamic URLs may exist,,,UNVERIFIED — no exact symbol match,UNVERIFIED
HEAD,/redoc,.venv/lib/python3.13/site-packages/fastapi/applications.py:1122,redoc_html,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,{},UNVERIFIED,,UNVERIFIED — no exact literal match; dynamic URLs may exist,,,UNVERIFIED — no exact symbol match,UNVERIFIED
POST,/api/v1/auth/login,app/api/api_v1/endpoints/auth.py:26,login,app.database.get_db,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""user_credentials"", ""type"": ""<class 'app.schemas.auth.Login'>"", ""required"": true}]}",<class 'app.schemas.auth.Token'>,"{'access_token': access_token, 'refresh_token': refresh_token, 'token_type': 'bearer'}",ios/LFAEducationCenter/Auth/AuthManager.swift,AuditService; Depends; GamificationService; HTTPException; audit_service.log; create_access_token; create_refresh_token; db.query; db.query(User).filter; db.query(User).filter(User.email == user_credentials.email).first; gamification_service.check_and_unlock_achievements; len; print; router.post; timedelta; verify_password,"HTTPException(status_code=status.HTTP_401_UNAUTHORIZED, detail='Incorrect email or password', headers={'WWW-Authenticate': 'Bearer'}) | HTTPException(status_code=400, detail='Inactive user')",tests/.archive/test_admin_create_tournament.py; tests/integration/test_credit_validation_fix.py; tests/integration/test_session_rules_comprehensive.py; tests/integration/test_semester_api.py; tests/integration/test_semester_e2e.py; tests/integration/test_semester_generation.py; tests/integration/test_session_list_performance.py; tests/features/test_campus_filter.py; tests/manual/test_tournament_api.py; tests/manual/test_assignment_filters.py; tests/api/test_invitation_codes.py; tests/api/test_coupons_refactored.py; tests/e2e/test_real_user_integration.py; tests/e2e/test_reward_leaderboard_matrix.py; tests/e2e/test_async_production_readiness.py; tests/e2e/test_instructor_dashboard_tab_smoke.py; tests/e2e/test_full_boundary_matrix.py; tests/e2e/test_p4_partial_field.py; tests/e2e/test_tournament_monitor_coverage.py; tests/e2e/test_p3_coverage.py; tests/e2e/test_tournament_manager_sidebar_nav.py; tests/e2e/test_knockout_matrix.py; tests/e2e/test_00_genesis_clean_db_full_flow.py; tests/e2e/test_p1_coverage.py; tests/e2e/test_game_presets_admin.py; tests/e2e/test_production_readiness.py; tests/e2e/test_p2_coverage.py; tests/e2e/test_tournament_type_matrix.py; tests/e2e/test_tournament_monitor_e2e.py; tests/e2e/test_scale_1024_real_structure.py; tests/manual_integration/test_assignment_request.py; tests/manual_integration/test_instructor_session_edit.py; tests/manual_integration/test_api_now.py; tests/manual_integration/test_api_quick.py; tests/manual_integration/test_instructor_requests.py; tests/manual_integration/test_accept_assignment.py; tests/e2e/integration_critical/test_auth_lifecycle.py; tests/e2e/integration_critical/test_user_account.py; tests/e2e/integration_critical/test_multi_campus.py; tests/e2e/admin_ui/test_admin_user_management.py; tests/e2e/admin_ui/test_promotion_flow_e2e.py; tests/e2e/admin_ui/test_admin_bookings_ui.py; tests/e2e/admin_ui/test_admin_menu_restructure.py; tests/e2e/admin_ui/test_team_golden_flow.py; tests/e2e/admin_ui/test_admin_workflow_audit.py; tests/e2e/admin_ui/test_team_flow_e2e.py; tests/e2e/admin_ui/test_user_profile_proof.py; tests/e2e/lifecycle/test_01_user_registration.py; tests/e2e/lifecycle/test_05_skill_progression_e2e.py; tests/e2e/lifecycle/test_04_tournament_lifecycle.py; tests/e2e/lifecycle/test_09_production_flow_e2e.py; tests/e2e/lifecycle/test_06_edge_cardinality_e2e.py; tests/e2e/lifecycle/test_10_concurrency_e2e.py; tests/e2e/lifecycle/test_11_large_field_monitor_e2e.py; tests/e2e/legacy/test_e2e_simple.py; tests/e2e/legacy/test_continue_tournament_e2e.py; tests/integration/.archive/test_complete_quiz_workflow.py; tests/integration/.archive/test_session_quiz_access_control.py; tests/integration/.archive/test_sessions_fix.py; tests/integration/.archive/test_teachable_specializations.py; tests/integration/.archive/test_generate.py; tests/integration/.archive/test_license_api.py; tests/integration/.archive/test_onsite_workflow.py; tests/integration/.archive/test_sessions_detailed.py; tests/integration/.archive/test_direct_api.py; tests/integration/web_flows/test_player_game_loop.py; tests/integration/web_flows/test_critical_e2e.py; tests/integration/web_flows/test_spec_hub_routing.py; tests/integration/web_flows/test_student_ui_audit.py; tests/integration/web_flows/test_student_skill_ui.py; tests/integration/api_smoke/test_auth_smoke.py; tests/security/xss/test_login_xss.py; tests/security/csrf/test_cookie_security.py; tests/security/csrf/test_csrf_tokens.py; tests/security/sql_injection/test_authentication_sqli.py; tests/unit/middleware/test_security_middleware.py; tests/unit/contract/test_auth_contract.py; tests/unit/tournament/test_campus_scope_guard_integration.py; tests/unit/services/test_action_determiner.py; tests/unit/services/test_auth_validator.py; tests/unit/services/test_badge_service.py; tests/unit/services/test_auth_endpoint.py; tests/unit/api/web_routes/test_auth_web.py; tests/unit/api/web_routes/test_web_register.py,UNVERIFIED
POST,/api/v1/auth/login/form,app/api/api_v1/endpoints/auth.py:117,login_form,app.database.get_db; fastapi.security.oauth2.OAuth2PasswordRequestForm,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",<class 'app.schemas.auth.Token'>,"{'access_token': access_token, 'refresh_token': refresh_token, 'token_type': 'bearer'}",UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; create_access_token; create_refresh_token; db.query; db.query(User).filter; db.query(User).filter(User.email == form_data.username).first; router.post; timedelta; verify_password,"HTTPException(status_code=status.HTTP_401_UNAUTHORIZED, detail='Incorrect email or password', headers={'WWW-Authenticate': 'Bearer'}) | HTTPException(status_code=400, detail='Inactive user')",tests/integration/api_smoke/test_auth_smoke.py; tests/unit/services/test_auth_endpoint.py,UNVERIFIED
